Name,Gap,Offset,Finish,Schedule Segments
Central-Parramatta,15,0,"1,200","Central-Strathfield Semi-Fast,Strathfield-Lidcombe,Lidcombe-Auburn,Auburn-Granville,Granville-Parramatta"
Flemington-Central,15,0,"1,200","Flemington-Strathfield,Strathfield-Central"
Central-Flemington,15,0,"1,200","Central-Strathfield,Strathfield-Flemington"
Macarthur-Central,15,0,"1,200","Macarthur-Glenfield,Glenfield-Revesby,Revesby-Kingsgrove Fast,Kingsgrove-Wolli Creek Fast,Wolli Creek-Central Airport"
Central-Macarthur,15,0,"1,200","Central-Wolli Creek Airport,Wolli Creek-Kingsgrove Fast,Kingsgrove-Revesby Fast,Revesby-Glenfield,Glenfield-Macarthur"
Revesby-Central,15,0,"1,200","Revesby-Kingsgrove,Kingsgrove-Wolli Creek,Wolli Creek-Central Airport"
Central-Revesby,15,0,"1,200","Central-Wolli Creek Airport,Wolli Creek-Kingsgrove,Kingsgrove-Revesby"
Central-Cronulla,15,0,"1,200","Central-Sydenham Fast,Sydenham-Wolli Creek Fast,Wolli Creek-Kogarah Semi-Fast,Kogarah-Hurstville Fast,Hurstville-Sutherland Fast,Sutherland-Cronulla"
Cronulla-Central,15,0,"1,200","Cronulla-Sutherland,Sutherland-Hurstville Fast,Hurstville-Kogarah Fast,Kogarah-Wolli Creek Semi-Fast,Wolli Creek-Sydenham Fast,Sydenham-Central Fast"
Central-Waterfall,30,0,"1,200","Central-Sydenham Fast,Sydenham-Wolli Creek Fast,Wolli Creek-Kogarah Semi-Fast,Kogarah-Hurstville Fast,Hurstville-Sutherland Semi-Fast,Sutherland-Waterfall"
Waterfall-Central,30,0,"1,200","Waterfall-Sutherland,Sutherland-Hurstville Semi-Fast,Hurstville-Kogarah Fast,Kogarah-Wolli Creek Semi-Fast,Wolli Creek-Sydenham Fast,Sydenham-Central Fast"
Central-Sutherland,30,0,"1,200","Central-Sydenham Fast,Sydenham-Wolli Creek Fast,Wolli Creek-Kogarah Semi-Fast,Kogarah-Hurstville Fast,Hurstville-Sutherland Semi-Fast"
Sutherland-Central,30,0,"1,200","Sutherland-Hurstville Semi-Fast,Hurstville-Kogarah Fast,Kogarah-Wolli Creek Semi-Fast,Wolli Creek-Sydenham Fast,Sydenham-Central Fast"
Central-Mortdale,15,0,"1,200","Central-Sydenham,Sydenham-Wolli Creek,Wolli Creek-Kogarah,Kogarah-Hurstville,Hurstville-Mortdale"
Mortdale-Central,15,0,"1,200","Mortdale-Hurstville,Hurstville-Kogarah,Kogarah-Wolli Creek,Wolli Creek-Sydenham,Sydenham-Central"
Central-Sefton,30,0,"1,200","Sefton-Bankstown,Bankstown-Campsie,Campsie-Sydenham Semi-Fast,Sydenham-Central Fast"
Sefton-Central,30,0,"1,200","Central-Sydenham Fast,Sydenham-Campsie Semi-Fast,Campsie-Bankstown,Bankstown-Sefton"
Central-Bankstown,30,0,"1,200","Bankstown-Campsie,Campsie-Sydenham Semi-Fast,Sydenham-Central Fast"
Bankstown-Central,30,0,"1,200","Central-Sydenham Fast,Sydenham-Campsie Semi-Fast,Campsie-Bankstown"
Central-Campsie,15,0,"1,200","Campsie-Sydenham,Sydenham-Central"
Campsie-Central,15,0,"1,200","Central-Sydenham,Sydenham-Campsie"
Leppington-Parramatta,30,0,"1,200","Leppington-Glenfield,Glenfield-Liverpool,Liverpool-Cabramatta,Cabramatta-Merrylands,Merrylands-Parramatta"
Parramatta-Leppington,30,0,"1,200","Parramatta-Merrylands,Merrylands-Cabramatta,Cabramatta-Liverpool,Liverpool-Glenfield,Glenfield-Leppington"
Liverpool-Parramatta,30,0,"1,200","Liverpool-Cabramatta,Cabramatta-Merrylands,Merrylands-Parramatta"
Parramatta-Liverpool,30,0,"1,200","Parramatta-Merrylands,Merrylands-Cabramatta,Cabramatta-Liverpool"
Central-Liverpool,15,0,"1,200","Central-Strathfield Fast,Strathfield-Lidcombe Fast,Lidcombe-Sefton,Sefton-Cabramatta,Cabramatta-Liverpool"
Liverpool-Central,15,0,"1,200","Liverpool-Cabramatta,Cabramatta-Sefton,Sefton-Lidcombe,Lidcombe-Strathfield Fast,Strathfield-Central Fast"
Cabramatta-Central,15,0,"1,200","Cabramatta-Merrylands,Merrylands-Granville,Granville-Auburn Fast,Auburn-Lidcombe,Lidcombe-Strathfield Fast,Strathfield-Central Fast"
Central-Cabramatta,15,0,"1,200","Central-Strathfield Fast,Strathfield-Lidcombe Fast,Lidcombe-Auburn,Auburn-Granville Fast,Granville-Merrylands,Merrylands-Cabramatta"
North Sydney-Central,5,0,"1,200","North Sydney-Wynyard,Wynyard-Central"
Central-North Sydney,5,0,"1,200","Central-Wynyard,Wynyard-North Sydney"
City Circle Clockwise,5,0,"1,200","Central-Wynyard,Wynyard-Central Circle"
City Circle Counter,5,0,"1,200","Central-Wynyard Circle,Wynyard-Central"
Lidcombe-Olympic Park,15,0,"1,200",Lidcombe-Olympic Park
Olympic Park-Lidcombe,15,7,"1,200",Olympic Park-Lidcombe
